Spy Character Selection      Smallman    Duke    Salmon    Rocker    Taft    Alice    Teal    Sikh    Carlos    Sari    Bling    Morgan    Plain    Oprah    Queen    Boots    General    Disney    Helen    Irish    Wheels
mvem                            0.00%   0.00%    13.33%     6.67%  13.33%   13.33%   0.00%  13.33%     0.00%   0.00%    6.67%     6.67%    6.67%    6.67%    0.00%    6.67%      6.67%     0.00%    0.00%    0.00%     0.00%
nanthelas                       4.92%   1.64%     8.20%     9.84%   0.00%    6.56%   1.64%   4.92%     3.28%   4.92%    4.92%     3.28%    4.92%    1.64%    4.92%    9.84%      4.92%     4.92%    6.56%    4.92%     3.28%
ninjafairy                      6.82%   2.27%    11.36%     6.82%   0.00%    4.55%   9.09%  11.36%     4.55%   4.55%    2.27%     4.55%    0.00%    2.27%    4.55%    0.00%      9.09%     4.55%    2.27%    4.55%     4.55%
ohgodaguy                       0.00%   7.69%     2.56%     5.13%   7.69%    7.69%   2.56%   5.13%     2.56%   7.69%   12.82%     2.56%    7.69%    7.69%    2.56%    7.69%      0.00%     5.13%    0.00%    5.13%     0.00%
OpiWrites                       1.11%   3.33%     2.22%     2.22%   2.22%    6.67%   6.67%  11.11%     0.00%   8.89%    2.22%     4.44%    7.78%    2.22%    8.89%    3.33%      8.89%     2.22%    1.11%   13.33%     1.11%
orac                            4.29%   1.43%     4.29%     8.57%   7.14%    8.57%   2.86%   1.43%     2.86%   2.86%    4.29%    10.00%    1.43%    8.57%    4.29%    4.29%      5.71%     1.43%    1.43%    7.14%     7.14%
paragon12321                    3.85%   1.92%     1.92%     5.77%   5.77%    3.85%   5.77%   5.77%     7.69%   1.92%    9.62%     1.92%    5.77%    7.69%    7.69%    3.85%      7.69%     5.77%    0.00%    5.77%     0.00%
paratroopa                      2.00%   8.00%     4.00%     2.00%   4.00%    6.00%   2.00%  10.00%     0.00%   0.00%   10.00%    10.00%    0.00%   10.00%    2.00%    4.00%     10.00%     4.00%    2.00%    8.00%     2.00%
pash1k                          9.76%   0.00%     4.88%     9.76%   4.88%    7.32%   2.44%   4.88%     4.88%   2.44%   12.20%     4.88%   14.63%    0.00%    2.44%    7.32%      4.88%     0.00%    0.00%    2.44%     0.00%
phimagen                       14.71%   2.94%     2.94%     0.00%   2.94%    8.82%   0.00%   5.88%     0.00%   8.82%    0.00%     5.88%    0.00%    8.82%    0.00%    2.94%     11.76%     2.94%    2.94%    8.82%     8.82%
pipesuper24                     0.00%   0.00%     0.00%    12.50%   0.00%    0.00%   0.00%   0.00%     0.00%  12.50%   25.00%     0.00%   12.50%    0.00%    0.00%    0.00%      0.00%    12.50%    0.00%   25.00%     0.00%
pires                           4.17%   4.17%     0.00%    12.50%   0.00%   20.83%   0.00%   0.00%     0.00%   0.00%    8.33%     4.17%    0.00%   16.67%    0.00%   12.50%      0.00%     4.17%    0.00%   12.50%     0.00%
PixelBandit                    33.33%  33.33%     0.00%     0.00%   0.00%   33.33%   0.00%   0.00%     0.00%   0.00%    0.00%     0.00%    0.00%    0.00%    0.00%    0.00%      0.00%     0.00%    0.00%    0.00%     0.00%
